"show_1","show_2","distance"
"Gintama","Ouran High School Host Club","0.725280533081342"
"Ouran High School Host Club","A Silent Voice","0.748859598350993"
"A Silent Voice","Ouran High School Host Club","0.748859598350993"
"Ouran High School Host Club","Noragami Aragoto","0.722416154762782"
"Noragami Aragoto","Ouran High School Host Club","0.722416154762782"
"Ouran High School Host Club","Nisekoi: False Love","0.745456988773505"
"Nisekoi: False Love","Ouran High School Host Club","0.745456988773505"
"Ouran High School Host Club","Spirited Away","0.478121828718236"
"Spirited Away","Ouran High School Host Club","0.478121828718236"
"Ouran High School Host Club","Baccano!","0.614948497600133"
"Baccano!","Ouran High School Host Club","0.614948497600133"
"Ouran High School Host Club","Food Wars! Shokugeki no Soma","0.721496299348684"
"Food Wars! Shokugeki no Soma","Ouran High School Host Club","0.721496299348684"
"Ouran High School Host Club","Code Geass: Lelouch of the Rebellion R2","0.548675917677732"
"Code Geass: Lelouch of the Rebellion R2","Ouran High School Host Club","0.548675917677732"
"Ouran High School Host Club","Black Bullet","0.771040186683444"
"Black Bullet","Ouran High School Host Club","0.771040186683444"
"Ouran High School Host Club","Death Note","0.475584853237363"
"Death Note","Ouran High School Host Club","0.475584853237363"
"Ouran High School Host Club","Attack on Titan","0.575178914568988"
"Attack on Titan","Ouran High School Host Club","0.575178914568988"
"Ouran High School Host Club","Soul Eater","0.548833095332747"
"Soul Eater","Ouran High School Host Club","0.548833095332747"
"Ouran High School Host Club","Terror in Resonance","0.70201604377515"
"Terror in Resonance","Ouran High School Host Club","0.70201604377515"
"Ouran High School Host Club","Elfen Lied","0.542152300261036"
"Elfen Lied","Ouran High School Host Club","0.542152300261036"
"Ouran High School Host Club","One Punch Man","0.664575607336861"
"One Punch Man","Ouran High School Host Club","0.664575607336861"
"Ouran High School Host Club","Cowboy Bebop","0.63202959665887"
"Cowboy Bebop","Ouran High School Host Club","0.63202959665887"
"Ouran High School Host Club","Puella Magi Madoka Magica","0.604220738866047"
"Puella Magi Madoka Magica","Ouran High School Host Club","0.604220738866047"
"Ouran High School Host Club","The Future Diary","0.646016927026527"
"The Future Diary","Ouran High School Host Club","0.646016927026527"
"Ouran High School Host Club","Attack on Titan Season 2","0.753034467487661"
"Attack on Titan Season 2","Ouran High School Host Club","0.753034467487661"
"Ouran High School Host Club","Parasyte -the maxim-","0.716953378788079"
"Parasyte -the maxim-","Ouran High School Host Club","0.716953378788079"
"Ouran High School Host Club","Fate/stay night","0.622242690770166"
"Fate/stay night","Ouran High School Host Club","0.622242690770166"
"Ouran High School Host Club","KonoSuba: God&#039;s Blessing on This Wonderful World!","0.774400112884224"
"KonoSuba: God&#039;s Blessing on This Wonderful World!","Ouran High School Host Club","0.774400112884224"
"Ouran High School Host Club","Durarara!!","0.528636439923054"
"Durarara!!","Ouran High School Host Club","0.528636439923054"
"Ouran High School Host Club","ERASED","0.686143569484748"
"ERASED","Ouran High School Host Club","0.686143569484748"
"Ouran High School Host Club","Fullmetal Alchemist","0.513656004812354"
"Fullmetal Alchemist","Ouran High School Host Club","0.513656004812354"
"Ouran High School Host Club","Re:ZERO -Starting Life in Another World-","0.757525562510345"
"Re:ZERO -Starting Life in Another World-","Ouran High School Host Club","0.757525562510345"
"Ouran High School Host Club","BTOOOM!","0.719007548552264"
"BTOOOM!","Ouran High School Host Club","0.719007548552264"
