"show_1","show_2","distance"
"Toradora!","Steins;Gate","0.397667570637171"
"Steins;Gate","Toradora!","0.397667570637171"
"Toradora!","Naruto","0.472432261704788"
"Naruto","Toradora!","0.472432261704788"
"Toradora!","Sword Art Online II","0.482394598761663"
"Sword Art Online II","Toradora!","0.482394598761663"
"Toradora!","Blue Exorcist","0.441764258144232"
"Blue Exorcist","Toradora!","0.441764258144232"
"Toradora!","Akame ga Kill!","0.507167834106276"
"Akame ga Kill!","Toradora!","0.507167834106276"
"Toradora!","Sword Art Online","0.353151335142867"
"Sword Art Online","Toradora!","0.353151335142867"
"Toradora!","Noragami: Stray God","0.446212132303356"
"Noragami: Stray God","Toradora!","0.446212132303356"
"Toradora!","No Game, No Life","0.411861327558618"
"No Game, No Life","Toradora!","0.411861327558618"
"Toradora!","Code Geass: Lelouch of the Rebellion R2","0.404565014316473"
"Code Geass: Lelouch of the Rebellion R2","Toradora!","0.404565014316473"
"Toradora!","Death Note","0.386198961021042"
"Death Note","Toradora!","0.386198961021042"
"Toradora!","Attack on Titan","0.385388325516478"
"Attack on Titan","Toradora!","0.385388325516478"
"Toradora!","Soul Eater","0.475501193191565"
"Soul Eater","Toradora!","0.475501193191565"
"Toradora!","Elfen Lied","0.419939193123147"
"Elfen Lied","Toradora!","0.419939193123147"
"Toradora!","One Punch Man","0.457264373108094"
"One Punch Man","Toradora!","0.457264373108094"
"Toradora!","The Future Diary","0.408370588689175"
"The Future Diary","Toradora!","0.408370588689175"
"Toradora!","Fullmetal Alchemist","0.492142919835458"
"Fullmetal Alchemist","Toradora!","0.492142919835458"
"Toradora!","Gurren Lagann","0.446628923304398"
"Gurren Lagann","Toradora!","0.446628923304398"
"Toradora!","Angel Beats!","0.316021404651797"
"Angel Beats!","Toradora!","0.316021404651797"
"Toradora!","Code Geass: Lelouch of the Rebellion","0.38801082206634"
"Code Geass: Lelouch of the Rebellion","Toradora!","0.38801082206634"
"Fairy Tail","Tokyo Ghoul","0.475128002386284"
"Tokyo Ghoul","Fairy Tail","0.475128002386284"
"Fairy Tail","Fullmetal Alchemist: Brotherhood","0.502622041774232"
"Fullmetal Alchemist: Brotherhood","Fairy Tail","0.502622041774232"
"Fairy Tail","Steins;Gate","0.554437502936468"
"Steins;Gate","Fairy Tail","0.554437502936468"
"Fairy Tail","Naruto","0.511842968321426"
"Naruto","Fairy Tail","0.511842968321426"
"Fairy Tail","Sword Art Online II","0.477927441731527"
